iter	Passed	Remaining
167	759	3761
168	762	3746
169	764	3731
170	766	3716
171	770	3707
172	773	3695
173	775	3681
174	777	3666
175	780	3652
176	782	3639
177	786	3630
178	788	3618
179	791	3604
180	793	3590
181	795	3577
182	798	3564
183	802	3557
184	804	3544
185	806	3531
186	809	3518
187	811	3505
188	813	3492
189	817	3486
190	820	3477
191	823	3464
192	825	3453
193	828	3440
194	830	3428
195	833	3417
196	835	3406
197	838	3394
198	840	3383
199	842	3371
200	845	3360
201	849	3354
202	852	3346
203	854	3335
204	857	3326
205	860	3316
206	862	3305
207	867	3304
208	870	3293
209	872	3283
210	875	3272
211	877	3261
212	883	3264
213	885	3253
214	888	3243
215	890	3232
216	892	3221
217	895	3213
218	899	3207
219	901	3197
220	904	3187
221	906	3176
222	908	3166
223	914	3167
224	916	3157
225	919	3147
226	921	3138
227	923	3128
228	926	3118
229	930	3113
230	932	3105
231	935	3095
232	937	3085
233	939	3076
234	942	3068
235	946	3063
236	948	3054
237	951	3045
238	953	3035
239	955	3026
240	959	3022
241	962	3014
242	964	3005
243	967	2996
244	969	2988
245	972	2980
246	978	2981
247	981	2975
248	983	2966
249	986	2958
250	988	2950
251	991	2943
252	994	2935
253	996	2926
254	998	2918
255	1001	2909
256	1003	2902
257	1008	2899
258	1011	2893
259	1013	2884
260	1015	2876
261	1018	2868
262	1020	2860
263	1023	2854
264	1026	2846
265	1028	2838
266	1030	2830
267	1033	2822
268	1035	2815
269	1040	2813
270	1043	2806
271	1045	2799
272	1048	2791
273	1050	2783
274	1052	2775
275	1056	2772
276	1059	2765
277	1061	2757
278	1064	2750
279	1066	2742
280	1069	2735
281	1075	2737
282	1077	2730
283	1079	2722
284	1082	2715
285	1084	2708
286	1088	2704
287	1091	2698
288	1093	2691
289	1096	2683
290	1098	2676
291	1101	2671
292	1105	2667
293	1108	2660
294	1110	2653
295	1113	2647
296	1115	2640
297	1119	2637
298	1122	2631
299	1124	2624
300	1127	2617
301	1129	2610
302	1132	2604
303	1139	2607
304	1141	2601
305	1143	2594
306	1146	2587
307	1150	2583
308	1153	2578
309	1155	2572
310	1157	2565
311	1160	2558
312	1162	2551
313	1168	2552
314	1171	2546
315	1173	2540
316	1175	2533
317	1178	2527
318	1181	2521
319	1183	2515
320	1186	2509
321	1188	2502
322	1190	2495
323	1193	2490
324	1199	2490
325	1201	2484
326	1203	2477
327	1206	2471
328	1208	2465
329	1211	2459
330	1215	2455
331	1217	2450
332	1220	2443
333	1222	2437
334	1225	2431
335	1229	2429
336	1232	2424
337	1234	2418
338	1237	2412
339	1239	2406
340	1241	2399
341	1245	2396
342	1248	2391
343	1250	2385
344	1253	2379
345	1255	2373
346	1258	2367
347	1261	2364
348	1264	2358
349	1266	2352
350	1269	2346
351	1271	2340
352	1273	2334
353	1277	2331
354	1280	2325
355	1282	2320
356	1284	2314
357	1287	2308
358	1289	2302
359	1293	2299
360	1296	2295
361	1299	2289
362	1301	2284
363	1304	2278
364	1306	2272
365	1310	2269
366	1312	2264
367	1314	2258
368	1317	2252
369	1319	2246
370	1322	2241
371	1326	2239
372	1329	2234
373	1331	2228
374	1333	2223
375	1336	2217
376	1338	2212
377	1342	2208
378	1344	2203
379	1347	2197
380	1349	2192
381	1351	2187
382	1354	2181
383	1360	2182
384	1363	2178
385	1365	2172
386	1368	2167
387	1370	2162
388	1374	2158
389	1376	2153
390	1379	2148
391	1381	2143
392	1384	2137
393	1391	2140
394	1393	2135
395	1396	2129
396	1398	2124
397	1401	2119
398	1403	2114
399	1406	2109
400	1408	2104
401	1411	2099
402	1413	2093
403	1417	2090
404	1424	2092
405	1427	2087
406	1429	2082
407	1431	2077
408	1434	2072
409	1437	2069
410	1440	2063
411	1442	2058
412	1445	2053
413	1447	2048
414	1449	2043
415	1455	2043
416	1458	2039
417	1460	2034
418	1463	2029
419	1465	2024
420	1468	2019
421	1471	2014
422	1473	2009
423	1475	2004
424	1477	1999
425	1480	1994
426	1485	1992
427	1487	1988
428	1490	1983
429	1492	1978
430	1495	1974
431	1497	1969
432	1501	1965
433	1503	1961
434	1506	1956
435	1508	1951
436	1510	1946
437	1513	1941
438	1518	1939
439	1520	1934
440	1522	1930
441	1525	1925
442	1527	1920
443	1529	1915
444	1534	1913
445	1536	1908
446	1539	1904
447	1541	1899
448	1543	1894
449	1547	1891
450	1550	1887
451	1552	1882
452	1555	1878
453	1558	1874
454	1561	1870
455	1565	1867
456	1568	1863
457	1570	1858
458	1574	1855
459	1583	1858
460	1585	1853
461	1587	1849
462	1590	1844
463	1592	1839
464	1595	1835
465	1598	1831
466	1600	1826
467	1602	1821
468	1604	1817
469	1607	1812
470	1611	1809
471	1614	1806
472	1617	1801
473	1619	1797
474	1622	1792
475	1624	1788
476	1627	1784
477	1630	1780
478	1632	1775
479	1634	1770
480	1637	1766
481	1639	1762
482	1645	1760
483	1647	1756
484	1650	1752
485	1652	1748
486	1655	1743
487	1659	1740
488	1662	1736
489	1664	1732
490	1667	1728
491	1670	1724
492	1677	1724
493	1679	1720
494	1682	1716
495	1685	1712
496	1687	1707
497	1690	1704
498	1694	1700
499	1696	1696
500	1699	1692
501	1702	1688
502	1705	1685
503	1708	1681
504	1713	1679
505	1715	1674
506	1718	1670
507	1729	1674
508	1731	1670
509	1734	1666
510	1739	1664
511	1743	1661
512	1745	1657
513	1748	1652
514	1750	1648
515	1755	1646
516	1757	1642
517	1760	1638
518	1762	1633
519	1765	1629
520	1768	1625
521	1771	1622
522	1774	1618
523	1777	1614
524	1779	1610
525	1782	1606
526	1785	1602
527	1787	1597
528	1789	1593
529	1792	1589
530	1794	1584
531	1797	1581
532	1800	1577
533	1803	1573
534	1805	1569
535	1808	1565
536	1810	1560
537	1812	1556
538	1816	1553
539	1819	1549
540	1821	1545
541	1824	1541
542	1826	1537
543	1829	1533
544	1834	1531
545	1837	1527
546	1840	1523
547	1842	1519
548	1845	1516
549	1848	1512
550	1851	1508
551	1854	1504
552	1856	1501
553	1859	1497
554	1864	1494
555	1867	1490
556	1869	1487
557	1872	1483
558	1875	1479
559	1879	1476
560	1881	1472
561	1884	1468
562	1887	1464
563	1889	1460
564	1892	1457
565	1896	1454
566	1899	1450
567	1901	1446
568	1904	1442
569	1906	1438
570	1911	1436
571	1914	1432
572	1919	1430
573	1922	1426
574	1927	1424
575	1930	1421
576	1933	1417
577	1936	1413
578	1940	1410
579	1944	1407
580	1947	1404
581	1950	1400
582	1952	1396
583	1955	1392
584	1963	1392
585	1966	1389
586	1968	1385
587	1971	1381
588	1977	1379
589	1979	1375
590	1984	1373
591	1995	1375
592	1999	1372
593	2002	1368
594	2008	1367
595	2012	1364
596	2015	1360
597	2019	1357
598	2023	1354
599	2026	1351
600	2030	1348
601	2033	1344
602	2040	1343
603	2043	1339
604	2047	1336
605	2050	1333
606	2058	1333
607	2064	1330
608	2072	1330
609	2076	1327
610	2079	1323
611	2085	1322
612	2090	1319
613	2098	1319
614	2104	1317
615	2113	1317
616	2120	1316
617	2124	1312
618	2126	1308
619	2129	1305
620	2132	1301
621	2135	1297
622	2138	1294
623	2141	1290
624	2144	1286
625	2150	1284
626	2153	1281
627	2156	1277
628	2159	1273
629	2162	1270
630	2167	1267
631	2170	1263
632	2172	1259
633	2175	1255
634	2178	1252
635	2181	1248
636	2184	1244
637	2187	1241
638	2190	1237
639	2192	1233
640	2197	1230
641	2200	1226
642	2202	1222
643	2205	1219
644	2207	1215
645	2211	1211
646	2215	1208
647	2217	1204
648	2220	1200
649	2222	1196
650	2225	1193
651	2229	1190
652	2232	1186
653	2235	1182
654	2237	1178
655	2240	1175
656	2245	1172
657	2248	1168
658	2251	1165
659	2254	1161
660	2257	1157
661	2260	1154
662	2263	1150
663	2266	1146
664	2268	1142
665	2271	1138
666	2273	1135
667	2276	1131
668	2279	1127
669	2281	1123
670	2284	1120
671	2287	1116
672	2291	1113
673	2294	1109
674	2296	1105
675	2299	1102
676	2302	1098
677	2304	1094
678	2310	1092
679	2313	1088
680	2316	1085
681	2319	1081
682	2322	1078
683	2325	1074
684	2328	1070
685	2331	1067
686	2334	1063
687	2337	1059
688	2339	1056
689	2343	1052
690	2346	1049
691	2349	1045
692	2352	1041
693	2357	1039
694	2360	1035
695	2363	1032
696	2366	1028
697	2370	1025
698	2373	1021
699	2375	1018
700	2378	1014
701	2381	1010
702	2386	1008
703	2388	1004
704	2391	1000
705	2394	997
706	2398	993
707	2406	992
708	2408	988
709	2411	984
710	2413	981
711	2416	977
712	2419	974
713	2422	970
714	2425	966
715	2428	963
716	2431	959
717	2434	956
718	2437	952
719	2439	948
720	2442	945
721	2445	941
722	2449	938
723	2452	934
724	2454	931
725	2457	927
726	2460	923
727	2465	921
728	2468	917
729	2471	913
730	2473	910
731	2476	906
732	2480	903
733	2483	900
734	2486	896
735	2489	892
736	2491	889
737	2494	885
738	2498	882
739	2500	878
740	2503	875
741	2506	871
742	2508	867
743	2513	864
744	2515	861
745	2518	857
746	2521	853
747	2523	850
748	2527	847
749	2530	843
750	2533	840
751	2536	836
752	2539	832
753	2543	829
754	2546	826
755	2549	822
756	2561	822
757	2564	818
758	2566	815
759	2569	811
760	2572	807
761	2575	804
762	2578	800
763	2580	797
764	2583	793
765	2586	790
766	2589	786
767	2592	783
768	2595	779
769	2597	775
770	2600	772
771	2602	768
772	2605	765
773	2608	761
774	2611	758
775	2614	754
776	2617	751
777	2619	747
778	2625	744
779	2628	741
780	2631	737
781	2633	734
782	2636	730
783	2640	727
784	2643	723
785	2646	720
786	2648	716
787	2651	713
788	2655	710
789	2658	706
790	2661	703
791	2663	699
792	2666	696
793	2669	692
794	2674	689
795	2676	686
796	2679	682
797	2682	679
798	2686	675
799	2690	672
800	2693	669
801	2696	665
802	2698	662
803	2703	659
804	2706	655
805	2709	652
806	2712	648
807	2715	645
808	2722	642
809	2724	639
810	2727	635
811	2730	632
812	2733	628
813	2736	625
814	2739	621
815	2741	618
816	2743	614
817	2746	611
818	2750	607
819	2753	604
820	2756	600
821	2758	597
822	2761	593
823	2765	590
824	2768	587
825	2770	583
826	2773	580
827	2776	576
828	2779	573
829	2784	570
830	2787	566
831	2790	563
832	2792	559
833	2795	556
834	2799	553
835	2801	549
836	2804	546
837	2807	542
838	2809	539
839	2814	536
840	2816	532
841	2819	529
842	2822	525
843	2825	522
844	2829	519
845	2832	515
846	2834	512
847	2837	508
848	2840	505
849	2843	501
850	2846	498
851	2850	495
852	2853	491
853	2855	488
854	2858	484
855	2863	481
856	2866	478
857	2868	474
858	2871	471
859	2874	467
860	2879	464
861	2881	461
862	2884	457
863	2887	454
864	2890	451
865	2894	447
866	2898	444
867	2901	441
868	2904	437
869	2908	434
870	2911	431
871	2914	427
872	2917	424
873	2921	421
874	2926	418
875	2929	414
876	2932	411
877	2935	407
878	2943	405
879	2946	401
880	2948	398
881	2951	394
882	2955	391
883	2958	388
884	2961	384
885	2964	381
886	2966	377
887	2970	374
888	2973	371
889	2975	367
890	2978	364
891	2981	360
892	2984	357
893	2992	354
894	2995	351
895	2997	347
896	3000	344
897	3004	341
898	3007	337
899	3010	334
900	3013	331
901	3015	327
902	3020	324
903	3022	320
904	3026	317
905	3029	314
906	3032	310
907	3039	307
908	3042	304
909	3044	301
910	3047	297
911	3051	294
912	3054	291
913	3057	287
914	3059	284
915	3062	280
916	3068	277
917	3071	274
918	3074	270
919	3076	267
920	3079	264
921	3083	260
922	3086	257
923	3089	254
924	3092	250
925	3094	247
926	3098	244
927	3101	240
928	3104	237
929	3107	233
930	3109	230
931	3112	227
932	3115	223
933	3118	220
934	3121	216
935	3123	213
936	3126	210
937	3130	206
938	3133	203
939	3135	200
940	3138	196
941	3140	193
942	3143	190
943	3148	186
944	3151	183
945	3153	180
946	3156	176
947	3159	173
948	3164	170
949	3167	166
950	3169	163
951	3172	159
952	3175	156
953	3179	153
954	3182	149
955	3185	146
956	3187	143
957	3190	139
958	3195	136
959	3198	133
960	3200	129
961	3203	126
962	3206	123
963	3209	119
964	3212	116
965	3215	113
966	3217	109
967	3219	106
968	3223	103
969	3227	99
970	3229	96
971	3233	93
972	3235	89
973	3239	86
974	3243	83
975	3245	79
976	3247	76
977	3250	73
978	3252	69
979	3257	66
980	3260	63
981	3262	59
982	3264	56
983	3266	53
984	3269	49
985	3273	46
986	3275	43
987	3278	39
988	3280	36
989	3283	33
990	3286	29
991	3289	26
992	3292	23
993	3294	19
994	3296	16
995	3299	13
996	3301	9
997	3304	6
998	3306	3
999	3309	0
